Section,Core Fix
**1. Hero**,"""Real-World Learning"" — never mentions finance, trading, or markets"
**2. Program Definition**,"Anchor: *""This is not a theoretical session. This is a real-world learning experience.""*"
**3. Problem/Gap**,"Frames gap as theory vs. practice, not ""lack of investment knowledge"""
**4. Mechanics**,Linear educational flow: immersion → scenarios → participation → reflection → tracking → certification
**5. Student Outcomes**,"Active verbs: participate, build, gain confidence. No ""returns"" or ""profits"""
**6. Institutional Value**,"Anchor: *""This is not an activity. This is a structured learning addition.""* Dark background = authority"
**7. Parent Trust**,"Transparency metrics, engagement reports, zero risk exposure"
**8. Safety**,"**Critical:** Explicit ""No real money, no trading, no transactions, no advisory"" + 100% controlled environment badge"
**9. Pricing**,"Anchor: *""This is not a workshop. This is a structured student development experience.""*"
**10. Social Impact**,"Embedded naturally as ""Growth with responsibility"" — not a footer afterthought"
**11. Commitment**,"Zero ""refund"" language. Accountability through improvement and engagement benchmarks"
**12. Final CTA**,"""Start With a Pilot"" — reduces institutional risk. Dual CTAs for different decision stages"
