Task_ID,Task,Owner,Priority,Next_Action,Deadline,Status,Related_Segment,Notes
"TDA-010","Email Outreach","Indu","A","Send email outreach today to The Sanskaar Valley School, Delhi Public School, Kolar Road, Delhi Public School, Neelbad.","2026-05-02","Execute Today","School","Source: To do tab row 24."
"TDA-011","WhatsApp Outreach","Indu","A","Prepare WhatsApp follow-ups for The Sanskaar Valley School, Delhi Public School, Kolar Road, Delhi Public School, Neelbad after email delivery.","2026-05-02","Execute Today","School","Source: To do tab row 25."
"TDA-015","Create Demo Video","Kush","B","Storyboard one decision-failure example that can support partner outreach later.","2026-05-04","Within 48h","Execution","Source: To do tab row 31."
"TDA-007","Create Outreach Script","Kush","B","Finalize one email and one WhatsApp script for schools using decision-gap framing.","2026-05-04","Within 48h","School","Source: To do tab row 21."
"TDA-004","Define Target Schools","Kush","B","Confirm the first school shortlist from the institutional tab and freeze Tier A pilot names.","2026-05-04","Within 48h","School","Source: To do tab row 18."
"TDA-005","Identify Decision Makers","Kush","B","Fill principal, admin, or trustee names for every priority school row.","2026-05-04","Within 48h","School","Source: To do tab row 19."
"TDA-009","Identify Pilot Schools","Kush","B","Select the first three schools for immediate outreach and note why each one was chosen.","2026-05-04","Within 48h","School","Source: To do tab row 23."
"TDA-013","Platform Placement","Kush","B","Define where Fnomo should appear inside partner flows only after first partner responses.","2026-05-04","Within 48h","Execution","Source: To do tab row 28."
"TDA-006","Prepare Contact List","Kush","B","Create one send-ready school contact list with email, phone, and owner.","2026-05-04","Within 48h","School","Source: To do tab row 20."
"TDA-003","School Outreach Plan","Kush","B","Lock the school outreach sequence and define the send order before any bulk messaging.","2026-05-04","Within 48h","School","Source: To do tab row 17."
"TDA-017","Setup Telegram System","Kush","B","Map the community outreach logging flow before live sends.","2026-05-04","Within 48h","Execution","Source: To do tab row 33."
"TDA-016","Setup WhatsApp System","Kush","B","Decide how sent outreach will be logged so follow-up dates stay clean.","2026-05-04","Within 48h","Execution","Source: To do tab row 32."
"TDA-008","Workshop Proposal (Young Investor)","Kush","B","Turn the workshop into a decision-quality proposal rather than a generic finance session.","2026-05-04","Within 48h","School","Source: To do tab row 22."
"TDA-024","Buffet Sessions (Founder)","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Campaign","Source: To do tab row 42."
"TDA-019","Coupon Model 20-30%","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Commercial","Source: To do tab row 36."
"TDA-002","Explore Event Platforms","Kush","C","Do not execute now.","2026-05-09","Ignore For Now","Platform","Source: To do tab row 14."
"TDA-001","Explore National Platforms","Kush","C","Do not execute now.","2026-05-09","Ignore For Now","Platform","Source: To do tab row 13."
"TDA-012","Find Webinar Platforms","Kush","C","Do not execute now.","2026-05-09","Ignore For Now","School","Source: To do tab row 26."
"TDA-025","Free Investing Sessions","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Campaign","Source: To do tab row 43."
"TDA-014","List on Product Hunt","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Execution","Source: To do tab row 29."
"TDA-022","Pan India Feedback Campaign","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Campaign","Source: To do tab row 40."
"TDA-021","Partner Incentives","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Commercial","Source: To do tab row 38."
"TDA-020","Platform Commission","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Commercial","Source: To do tab row 37."
"TDA-018","Revenue Share 30%","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Commercial","Source: To do tab row 35."
"TDA-023","Women Investing Webinars","Kush","C","Ignore for now.","2026-05-09","Ignore For Now","Campaign","Source: To do tab row 41."
